page,clicks,impressions,position,avg_time,bounce_rate,exit_rate,views,unique_views
page 1,371,100673,42.59,0 days 00:01:43.666666666,47.29666667,54.28666667,1396,1095
page 2,80,30824,26.84,0 days 00:01:45.333333333,64.43666667,60.91333333,210,181
page 3,16,1458,30.64,0 days 00:04:06.000000000,53.335,89.475,30,26
page 4,11,517,36.05,0 days 00:00:22.333333333,58.17,78.33333333,27,21
page 5,10,140,5.61,0 days 00:02:52.000000000,22.22333333,38.89,15,13
page 6,7,442,74.55,0 days 00:00:00.000000000,100.0,100.0,3,3
page 7,7,226,38.91,0 days 00:00:11.000000000,83.33,85.71,7,6
page 8,6,401,17.84,0 days 00:00:14.000000000,66.67,66.67,9,6
page 9,5,4177,70.02,0 days 00:01:31.666666666,61.90666667,60.25666667,198,160
page 10,5,263,46.38,0 days 00:02:04.000000000,50.0,67.855,9,9
page 11,4,203,41.95,0 days 00:00:44.666666666,59.31,77.92,63,60
page 12,4,129,22.84,0 days 00:00:00.000000000,100.0,100.0,3,3
page 13,3,323,57.47,0 days 00:00:05.500000000,25.0,70.0,7,5
page 14,3,322,29.38,0 days 00:00:00.000000000,100.0,100.0,2,2
page 15,3,227,7.59,0 days 00:00:00.000000000,0.0,100.0,4,4
page 16,3,142,55.27,0 days 00:18:09.500000000,50.0,87.5,5,5
page 17,3,71,23.61,0 days 00:01:32.666666666,43.98666667,43.00666667,431,234
page 18,3,28,39.36,0 days 00:00:30.000000000,66.67,60.0,5,3
page 19,2,441,42.23,0 days 00:00:21.500000000,50.0,50.0,2,2
page 20,2,172,79.2,0 days 00:00:00.000000000,0.0,100.0,1,1
page 21,2,151,39.14,0 days 00:00:00.000000000,50.0,100.0,3,3
page 22,2,149,38.76,0 days 00:00:53.000000000,50.0,75.0,5,3
page 23,2,88,39.73,0 days 00:00:00.000000000,0.0,100.0,2,2
page 24,2,87,66.83,0 days 00:00:00.000000000,0.0,100.0,2,2
page 25,2,71,9.89,0 days 00:00:00.000000000,0.0,100.0,2,2
page 26,2,49,24.59,0 days 00:00:00.000000000,100.0,100.0,1,1
page 27,2,29,57.79,0 days 00:04:33.000000000,16.665,75.0,7,4
page 28,2,25,23.64,0 days 00:00:00.000000000,50.0,100.0,2,2
page 29,1,447,72.25,0 days 00:02:09.000000000,0.0,66.67,3,2
page 30,1,385,41.75,0 days 00:07:23.000000000,46.97,76.225,24,19
page 31,1,342,69.3,0 days 00:05:44.500000000,50.0,50.0,4,3
page 32,1,281,43.88,0 days 00:00:00.000000000,100.0,100.0,1,1
page 33,1,203,54.72,0 days 00:05:13.500000000,50.0,50.0,4,4
page 34,1,193,19.16,0 days 00:00:00.000000000,100.0,100.0,1,1
page 35,1,166,8.0,0 days 00:00:00.000000000,0.0,100.0,1,1
page 36,1,126,44.63,0 days 00:00:00.000000000,100.0,100.0,1,1
page 37,1,115,26.13,0 days 00:00:02.000000000,0.0,0.0,1,1
page 38,1,100,44.44,0 days 00:00:00.000000000,0.0,100.0,1,1
page 39,1,99,56.7,0 days 00:00:00.000000000,0.0,100.0,1,1
page 40,1,97,58.88,0 days 00:00:00.000000000,100.0,100.0,1,1
page 41,1,87,12.11,0 days 00:02:17.500000000,33.335,35.415,14,13
page 42,1,86,49.59,0 days 00:00:00.000000000,50.0,100.0,4,4
page 43,1,85,47.6,0 days 00:00:00.000000000,50.0,100.0,2,2
page 44,1,82,33.91,0 days 00:00:00.000000000,0.0,100.0,1,1
page 45,1,76,43.72,0 days 00:00:10.000000000,50.0,87.5,5,5
page 46,1,76,76.43,0 days 00:00:42.000000000,0.0,50.0,2,1
page 47,1,74,33.22,0 days 00:00:00.000000000,0.0,100.0,1,1
page 48,1,69,55.97,0 days 00:00:14.000000000,83.33,75.0,8,7
page 49,1,64,15.09,0 days 00:00:00.000000000,100.0,100.0,1,1
page 50,1,63,58.38,0 days 00:00:00.000000000,100.0,100.0,1,1
page 51,1,60,25.03,0 days 00:00:00.000000000,100.0,100.0,1,1
page 52,1,57,34.35,0 days 00:00:09.000000000,25.0,50.0,4,3
page 53,1,56,69.27,0 days 00:00:00.000000000,100.0,100.0,1,1
page 54,1,53,23.96,0 days 00:00:00.000000000,0.0,100.0,1,1
page 55,1,48,50.83,0 days 00:00:00.000000000,100.0,100.0,1,1
page 56,1,46,57.22,0 days 00:00:00.000000000,100.0,100.0,4,4
page 57,1,46,61.13,0 days 00:00:00.000000000,100.0,100.0,2,2
page 58,1,43,48.51,0 days 00:00:56.000000000,0.0,50.0,2,2
page 59,1,34,14.59,0 days 00:00:00.000000000,0.0,100.0,2,2
page 60,1,29,28.93,0 days 00:00:00.000000000,0.0,100.0,1,1
page 61,1,28,26.18,0 days 00:00:00.000000000,0.0,100.0,1,1
page 62,1,28,63.64,0 days 00:00:00.000000000,100.0,100.0,1,1
page 63,1,27,16.26,0 days 00:00:00.000000000,0.0,100.0,1,1
page 64,1,25,86.0,0 days 00:00:00.000000000,100.0,100.0,1,1
page 65,1,23,67.74,0 days 00:00:00.000000000,100.0,100.0,1,1
page 66,1,20,27.2,0 days 00:00:00.000000000,100.0,100.0,2,2
page 67,1,20,66.9,0 days 00:00:12.000000000,0.0,50.0,2,1
page 68,1,19,35.79,0 days 00:00:13.000000000,0.0,0.0,1,1
page 69,1,13,41.62,0 days 00:00:00.000000000,0.0,100.0,1,1
page 70,1,13,80.69,0 days 00:00:00.000000000,100.0,100.0,1,1
page 71,1,12,9.17,0 days 00:04:02.000000000,0.0,50.0,2,1
page 72,1,12,24.75,0 days 00:03:03.000000000,0.0,0.0,1,1
page 73,1,12,24.92,0 days 00:00:00.000000000,50.0,100.0,2,2
page 74,1,12,24.92,0 days 00:00:00.000000000,0.0,100.0,1,1
page 75,1,11,43.0,0 days 00:00:00.000000000,100.0,100.0,1,1
page 76,1,6,34.0,0 days 00:00:00.000000000,0.0,100.0,1,1
page 77,1,6,50.67,0 days 00:00:00.000000000,100.0,100.0,1,1
page 78,1,5,30.4,0 days 00:02:04.000000000,0.0,0.0,2,1
page 79,1,5,31.8,0 days 00:00:00.000000000,100.0,100.0,1,1
page 80,1,3,11.33,0 days 00:00:00.000000000,100.0,100.0,1,1
page 81,1,3,36.67,0 days 00:00:00.000000000,100.0,100.0,1,1
page 82,1,1,5.0,0 days 00:00:00.000000000,100.0,100.0,1,1
page 83,0,1496,215.61,0 days 00:00:32.500000000,100.0,66.665,4,4
page 84,0,779,105.6,0 days 00:00:21.000000000,25.0,41.665,5,5
page 85,0,400,27.06,0 days 00:00:26.500000000,50.0,33.335,6,6
page 86,0,377,65.4,0 days 00:00:00.000000000,0.0,100.0,2,2
page 87,0,372,32.97,0 days 00:00:00.000000000,0.0,100.0,1,1
page 88,0,328,71.85,0 days 00:00:40.333333333,83.33333333,58.17,21,16
page 89,0,279,47.51,0 days 00:00:00.000000000,100.0,100.0,1,1
page 90,0,251,44.64,0 days 00:00:00.000000000,0.0,100.0,1,1
page 91,0,238,49.63,0 days 00:00:27.333333333,38.89,53.78666667,24,24
page 92,0,150,52.4,0 days 00:00:00.000000000,100.0,100.0,1,1
page 93,0,147,76.59,0 days 00:00:00.000000000,100.0,100.0,2,2
page 94,0,139,57.86,0 days 00:00:00.000000000,100.0,100.0,1,1
page 95,0,133,18.98,0 days 00:00:00.000000000,0.0,100.0,1,1
page 96,0,125,52.12,0 days 00:00:00.000000000,100.0,100.0,1,1
page 97,0,123,56.71,0 days 00:00:10.500000000,50.0,75.0,3,3
page 98,0,106,21.0,0 days 00:00:00.000000000,100.0,100.0,1,1
page 99,0,101,24.12,0 days 00:00:00.000000000,100.0,100.0,3,3
page 100,0,99,32.97,0 days 00:01:34.000000000,100.0,35.415,17,14
page 101,0,97,42.97,0 days 00:00:00.000000000,0.0,100.0,1,1
page 102,0,85,44.86,0 days 00:00:00.000000000,100.0,100.0,5,5
page 103,0,71,40.58,0 days 00:00:00.000000000,0.0,100.0,1,1
page 104,0,69,90.71,0 days 00:00:00.000000000,100.0,100.0,1,1
page 105,0,67,56.66,0 days 00:00:00.000000000,100.0,100.0,1,1
page 106,0,66,36.09,0 days 00:00:02.000000000,0.0,50.0,3,3
page 107,0,65,38.42,0 days 00:00:00.000000000,100.0,100.0,1,1
page 108,0,64,45.67,0 days 00:00:00.000000000,100.0,100.0,1,1
page 109,0,57,33.82,0 days 00:00:00.000000000,100.0,100.0,1,1
page 110,0,57,64.88,0 days 00:00:00.000000000,100.0,100.0,1,1
page 111,0,56,28.71,0 days 00:00:00.000000000,100.0,100.0,1,1
page 112,0,56,74.64,0 days 00:00:00.000000000,0.0,100.0,1,1
page 113,0,53,31.3,0 days 00:00:00.000000000,100.0,100.0,1,1
page 114,0,53,38.3,0 days 00:02:39.000000000,0.0,0.0,1,1
page 115,0,51,14.98,0 days 00:00:00.000000000,100.0,100.0,1,1
page 116,0,51,36.04,0 days 00:00:00.000000000,100.0,100.0,4,4
page 117,0,50,26.42,0 days 00:03:23.000000000,75.0,83.335,9,9
page 118,0,50,71.68,0 days 00:00:00.000000000,100.0,100.0,1,1
page 119,0,46,63.26,0 days 00:02:18.000000000,0.0,50.0,4,3
page 120,0,44,36.7,0 days 00:00:00.000000000,100.0,100.0,1,1
page 121,0,42,31.55,0 days 00:00:00.000000000,100.0,100.0,1,1
page 122,0,40,35.45,0 days 00:00:00.000000000,100.0,100.0,1,1
page 123,0,40,52.98,0 days 00:00:10.000000000,50.0,50.0,2,2
page 124,0,38,34.87,0 days 00:14:21.000000000,0.0,50.0,2,1
page 125,0,36,22.0,0 days 00:00:00.000000000,100.0,100.0,1,1
page 126,0,36,37.0,0 days 00:01:22.000000000,62.5,60.575,17,17
page 127,0,35,19.29,0 days 00:00:00.000000000,100.0,100.0,1,1
page 128,0,34,24.79,0 days 00:00:00.000000000,100.0,100.0,4,4
page 129,0,34,33.68,0 days 00:02:46.500000000,0.0,25.0,3,2
page 130,0,33,12.85,0 days 00:00:11.000000000,100.0,50.0,2,2
page 131,0,33,14.88,0 days 00:00:00.000000000,100.0,100.0,2,2
page 132,0,33,36.39,0 days 00:00:00.000000000,100.0,100.0,1,1
page 133,0,32,75.0,0 days 00:00:00.000000000,100.0,100.0,2,2
page 134,0,31,44.1,0 days 00:02:46.500000000,37.5,37.5,13,10
page 135,0,29,14.24,0 days 00:00:00.000000000,50.0,100.0,2,2
page 136,0,27,36.63,0 days 00:00:00.000000000,100.0,100.0,1,1
page 137,0,26,101.19,0 days 00:00:00.000000000,100.0,100.0,1,1
page 138,0,25,27.68,0 days 00:00:00.000000000,100.0,100.0,1,1
page 139,0,25,28.36,0 days 00:00:00.000000000,100.0,100.0,1,1
page 140,0,24,30.62,0 days 00:00:00.000000000,100.0,100.0,1,1
page 141,0,24,56.08,0 days 00:00:00.000000000,100.0,100.0,1,1
page 142,0,23,31.13,0 days 00:00:00.000000000,100.0,100.0,4,4
page 143,0,23,33.04,0 days 00:00:18.000000000,0.0,0.0,1,1
page 144,0,22,32.91,0 days 00:00:00.000000000,100.0,100.0,1,1
page 145,0,19,14.53,0 days 00:00:00.000000000,100.0,100.0,1,1
page 146,0,18,6.94,0 days 00:00:00.000000000,100.0,100.0,1,1
page 147,0,18,49.0,0 days 00:00:00.000000000,0.0,100.0,1,1
page 148,0,18,55.11,0 days 00:00:00.000000000,100.0,100.0,1,1
page 149,0,17,48.59,0 days 00:00:00.000000000,100.0,100.0,1,1
page 150,0,16,31.0,0 days 00:00:00.000000000,0.0,100.0,2,2
page 151,0,14,36.79,0 days 00:00:00.000000000,0.0,100.0,1,1
page 152,0,13,16.0,0 days 00:00:00.000000000,0.0,100.0,1,1
page 153,0,13,20.23,0 days 00:00:00.000000000,0.0,100.0,1,1
page 154,0,13,62.69,0 days 00:00:00.000000000,100.0,100.0,1,1
page 155,0,13,69.92,0 days 00:00:00.000000000,100.0,100.0,1,1
page 156,0,13,75.77,0 days 00:00:00.000000000,100.0,100.0,1,1
page 157,0,12,29.5,0 days 00:00:00.000000000,100.0,100.0,1,1
page 158,0,12,38.33,0 days 00:00:00.000000000,0.0,100.0,1,1
page 159,0,12,73.17,0 days 00:00:00.000000000,100.0,100.0,1,1
page 160,0,11,19.73,0 days 00:00:00.000000000,100.0,100.0,1,1
page 161,0,11,20.64,0 days 00:00:00.000000000,100.0,100.0,1,1
page 162,0,11,30.73,0 days 00:00:00.000000000,0.0,100.0,1,1
page 163,0,11,34.27,0 days 00:00:00.000000000,100.0,100.0,1,1
page 164,0,11,73.36,0 days 00:00:00.000000000,100.0,100.0,1,1
page 165,0,10,5.5,0 days 00:00:04.666666666,66.66666667,91.66666667,7,6
page 166,0,9,68.78,0 days 00:00:00.000000000,100.0,100.0,1,1
page 167,0,8,4.75,0 days 00:00:00.000000000,66.665,100.0,7,7
page 168,0,8,39.38,0 days 00:03:41.500000000,50.0,50.0,2,2
page 169,0,7,41.29,0 days 00:00:00.000000000,100.0,100.0,1,1
page 170,0,7,53.14,0 days 00:00:00.000000000,100.0,100.0,1,1
page 171,0,7,56.86,0 days 00:00:00.000000000,100.0,100.0,1,1
page 172,0,7,62.57,0 days 00:00:00.000000000,100.0,100.0,3,3
page 173,0,7,80.43,0 days 00:00:39.000000000,0.0,50.0,2,2
page 174,0,6,27.67,0 days 00:00:00.000000000,100.0,100.0,1,1
page 175,0,6,40.17,0 days 00:00:00.000000000,0.0,100.0,1,1
page 176,0,6,42.67,0 days 00:00:04.000000000,0.0,0.0,1,1
page 177,0,5,18.4,0 days 00:00:00.000000000,100.0,100.0,1,1
page 178,0,5,55.0,0 days 00:00:00.000000000,100.0,100.0,1,1
page 179,0,4,28.75,0 days 00:00:00.000000000,62.5,100.0,5,5
page 180,0,4,45.5,0 days 00:00:00.000000000,100.0,100.0,1,1
page 181,0,4,60.25,0 days 00:00:37.000000000,0.0,63.64,11,8
page 182,0,4,71.0,0 days 00:00:00.000000000,100.0,100.0,3,3
page 183,0,4,77.0,0 days 00:00:00.000000000,100.0,100.0,1,1
page 184,0,3,3.0,0 days 00:00:00.000000000,75.0,100.0,8,8
page 185,0,3,68.67,0 days 00:00:00.000000000,100.0,100.0,1,1
page 186,0,2,6.0,0 days 00:00:00.000000000,100.0,100.0,1,1
page 187,0,2,30.5,0 days 00:00:00.000000000,100.0,100.0,4,4
page 188,0,2,40.0,0 days 00:00:00.000000000,50.0,100.0,4,4
page 189,0,2,51.0,0 days 00:00:00.000000000,100.0,100.0,1,1
page 190,0,2,74.0,0 days 00:00:00.000000000,100.0,100.0,1,1
page 191,0,1,1.0,0 days 00:04:32.500000000,71.43,93.75,9,8
page 192,0,1,4.0,0 days 00:03:47.000000000,0.0,0.0,2,1
page 193,0,1,5.0,0 days 00:00:10.000000000,0.0,0.0,1,1
